01.01.15;01.01.15;Neujahr
06.01.15;06.01.15;Heilige Drei Könige
14.04.15;15.04.15;OF NRW / H / B
16.04.15;26.04.15;OF NRW / H / B / SH
27.04.15;02.05.15;OF SH
18.04.15;18.04.15;Karfreitag
21.04.15;21.04.15;Ostermontag
01.05.15;01.05.15;Tag der Arbeit
29.05.15;29.05.15;Christi Himmelfahrt
30.05.15;30.05.15;PF SH
09.06.15;09.06.15;Pfingstmontag
10.06.15;10.06.15;PF NRW
10.06.15;21.06.15;PF B
19.06.15;19.06.15;Fronleichnam
07.07.15;13.07.15;SF NRW
14.07.15;27.07.15;SF NRW / SH
28.07.15;27.07.15;SF NRW / SH / H
30.07.15;19.08.15;SF NRW / SH / H / B
20.08.15;23.08.15;SF SH / H / B
24.08.15;05.09.15;SF H / B
06.09.15;15.09.15;SF B
15.08.15;15.08.15;Mariä Himmelfahrt
03.10.15;03.10.15;Tag der Deutschen Einheit
06.10.15;12.10.15;HF NRW
13.10.15;18.10.15;HF NRW / SH
19.10.15;19.10.15;HF SH
20.10.15;25.10.15;HF SH / H
26.10.15;26.10.15;HF H
27.10.15;31.10.15;HF H / B
01.11.15;01.11.15;HF H
31.10.15;31.10.15;Reformationstag
01.11.15;01.11.15;Allerheiligen
19.11.15;19.11.15;Buß- und Bettag
22.12.15;23.12.15;WF NRW / SH / H
24.12.15;05.01.15;WF NRW / SH / H / B
05.01.15;06.01.15;WF NRW / SH / H
07.01.15;10.01.15;WF H
25.12.15;25.12.15;1. Weihnachtstag
26.12.15;26.12.15;2. Weihnachtstag
